gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Kctd17,2057.703506,-0.071176206,0.088152759,-0.807418926,0.419425166,0.689540353
Txndc15,1483.028054,0.07002364,0.086722747,0.807442593,0.419411536,0.689540353
Ddhd2,982.715611,-0.089279937,0.110565825,-0.807482209,0.41938872,0.689540353
Mdp1,758.8153595,0.098844731,0.122420721,0.807418301,0.419425527,0.689540353
Lss,688.2735762,-0.125523047,0.155362349,-0.807937364,0.419126641,0.689540353
Rgcc,257.2214946,-0.146779587,0.181802055,-0.807359341,0.419459485,0.689540353
Tspo,61.52771226,0.312264849,0.386514207,0.807900055,0.41914812,0.689540353
Endov,732.1212219,-0.083803487,0.103706781,-0.808081073,0.419043912,0.689524269
Gm20045,199.9856244,0.13864498,0.171566969,0.808109983,0.419027271,0.689524269
Rpa1,1022.496794,0.078880703,0.097593591,0.808256996,0.418942653,0.689506026
Inhbb,638.7326249,-0.108077127,0.133694695,-0.808387551,0.418867516,0.689458364
Axin2,320.7606554,0.134388067,0.16624252,0.80838565,0.41886861,0.689458364
Gm25994,184.0819157,-0.165349508,0.204526735,-0.808449361,0.418831946,0.689458364
Gm15446,392.1198809,0.124898941,0.154454432,0.808645885,0.418718864,0.689434494
Peg12,52.54223799,0.257710063,0.318547198,0.80901689,0.418505431,0.689157269
Brd3os,658.1601877,-0.091108994,0.112595979,-0.809167379,0.418418876,0.689088937
Prps1,2337.676304,0.067554383,0.08346812,0.809343535,0.418317571,0.689006229
Samd9l,126.1626531,-0.189755203,0.23440128,-0.809531431,0.418209531,0.689006229
Gm44210,84.61576395,-0.208246868,0.257169384,-0.809765393,0.418075026,0.688893586
Uimc1,302.0537186,0.118691103,0.146471587,0.810335339,0.41774747,0.688576424
Arl8a,5482.9344,0.052914874,0.065283202,0.810543488,0.417627881,0.688523139
Gnpda1,377.3085211,0.105252384,0.129865866,0.810469964,0.417670121,0.688523139
Anapc15,154.4156933,0.165894775,0.204674965,0.810527923,0.417636823,0.688523139
Ttc37,655.5166297,0.098589608,0.121597725,0.810784971,0.417489167,0.688447469
Rps13,2745.154048,0.064917083,0.080008704,0.811375258,0.417150204,0.687962694
Calu,3198.632708,0.067590714,0.083245669,0.8119427,0.416824512,0.687832625
Ei24,2876.516981,0.061308855,0.075540303,0.811604577,0.417018564,0.687832625
Slc25a11,1959.988014,0.065095482,0.080181305,0.81185361,0.416875636,0.687832625
